,driverId,driver_number,dob,nationality
809,810,\N,1984-08-11,Brazilian
810,811,\N,1983-10-15,Brazilian
811,812,\N,1984-01-19,Indian
812,813,13,1985-03-09,Venezuelan
813,814,\N,1986-04-16,British
814,815,11,1990-01-26,Mexican
815,816,\N,1985-12-27,Belgian
816,817,3,1989-07-01,Australian
817,818,25,1990-04-25,French
818,819,\N,1990-02-15,French
819,820,4,1991-04-21,British
820,821,21,1991-08-05,Mexican
821,822,77,1989-08-28,Finnish
822,823,\N,1985-04-25,Dutch
823,824,17,1989-08-03,French
824,825,20,1992-10-05,Danish
825,826,26,1994-04-26,Russian
826,827,45,1981-11-19,German
827,828,9,1990-09-02,Swedish
828,829,28,1991-06-28,British
829,830,33,1997-09-30,Dutch
830,831,12,1992-08-21,Brazilian
831,832,55,1994-09-01,Spanish
832,833,98,1991-03-22,Spanish
833,834,53,1991-09-25,American
834,835,30,1991-01-20,British
835,836,94,1994-10-18,German
836,837,88,1993-01-22,Indonesian
837,838,2,1992-03-26,Belgian
838,839,31,1996-09-17,French
839,840,18,1998-10-29,Canadian
840,841,99,1993-12-14,Italian
841,843,28,1989-11-10,New Zealander
842,844,16,1997-10-16,Monegasque
843,845,35,1995-08-27,Russian
844,846,4,1999-11-13,British
845,847,63,1998-02-15,British
846,848,23,1996-03-23,Thai
847,849,6,1995-06-29,Canadian
848,850,51,1996-06-25,Brazilian
849,851,89,1995-09-23,British
850,852,22,2000-05-11,Japanese
851,853,9,1999-03-02,Russian
852,854,47,1999-03-22,German
853,855,24,1999-05-30,Chinese
854,856,45,1995-02-06,Dutch
